name, region
Львів,13
501км Київ-Чоп,13
Hагоряни село,13
Hова Скварява,13
Артищів село,13
Бартатів село,13
Барташів село,13
Бібрка-Львів,13
Білогорща,13
Бірки село,13
Бродки село,13
Брюховичі,13
Будзень с.,13
Будьків с.,13
В.Грибовичі,13
Велике Передмістя село,13
Великополе с.,13
Верхня Білка с.,13
Винники,13
Винники Чишки,13
Відродження с.,13
Водяне село,13
Воля Бартатівська село,13
Воля Добростанська,13
Вороців,13
Глинна Наварія,13
Горбові село,13
Горішній,13
Городок,13
Грибовичі Великі,13
Грибовичі Малі,13
Гряда село,13
Давидів село,13
Деревач село,13
Добростани село,13
Долина село,13
Домажир село,13
Дорошів Великий,13
Дубрівка село,13
Думичі село Підлісецька СР,13
Думичі село Погорицька СР,13
Жирівка,13
Жулин село,13
Забава село,13
Завадів село,13
Заверещиця село,13
Заклад село,13
Залісок село,13
Замок село,13
Запитів село,13
Зарудці село,13
Затока с.,13
Зашків село,13
Збиранка с.,13
Зимна Вода село,13
Зубейки село,13
Зубра село,13
Кам'яна Гора село,13
Кам'янобрід село,13
Карачинів село,13
Керниця село,13
Кийків село,13
Ковирі село,13
Кожичі,13
Конопниця село,13
Крехів село,13
Кротошино село,13
Кунин село,13
Куровичі село,13
Кут село,13
Лапаївка,13
Липник село,13
Липники село,13
Лисиничі село,13
Лука село,13
Луцики село,13
Львів,13
Мавковичі село,13
Магерів село,13
Малехів село,13
Малечковичі,13
Мальчиці,13
Мокротин село,13
Монастирок село,13
Муроване село,13
Ожидів село,13
Павлокомська,13
Падюки село,13
Пасекі-Зубрецькі,13
Підберізці село,13
Підбірці,13
Підгайчики,13
Підгороднї село,13
Підлипці село,13
Підлісся село,13
Підрясне село,13
Плугів село,13
Повітно село,13
Погарисько село,13
Поріччя село,13
Поршна село,13
Ременів село,13
Рудки село,13
Рудно село,13
Рясна-Руська с.,13
Рясне,13
с. Устя,13
С.Б.Гора,13
с.Підгороднї,13
Семигинів село,13
Скварява село,13
Скнилів село,13
Сокільники село,13
Солонка село,13
Солуки с.,13
Старе Село,13
Страдч село,13
Струтин,13
Суховоля,13
Тернів село,13
урвище Кривчиці,13
Холодна Відка с,13
Цитуля село,13
Цунів,13
Червоне село,13
Чижиків,13
Чирі село,13
Ямельня село,13
Ямпіль,13
